source,locality,city,bhk,price,price_unit,deposit,area_sqft,floor,total_floors,furnishing,url,scraped_locality,lat,lng,location_exact
squareyards,Sandesh Nagar,Mumbai,5,140000,per_month,,900,6,,semi-furnished,https://www.squareyards.com/rental-1-5-bhk-servant-room-900-sq-ft-apartment-in-sandesh-nagar/10487259,Sandesh Nagar,19.0865579894721,72.8810664643325,True
squareyards,Mulund East,Mumbai,1,35000,per_month,,465,3,,furnished,https://www.squareyards.com/rental-1-bhk-465-sq-ft-apartment-in-atharwa-chs/10460648,Mulund East,19.165732,72.953027,True
squareyards,Gundavali,Mumbai,,900000,per_month,,2550,,,furnished,https://www.squareyards.com/rental-2550-sq-ft-office-space-in-gundavali/10461447,Gundavali,,,False
squareyards,Borivali East,Mumbai,,60000,per_month,,250,,,unfurnished,https://www.squareyards.com/rental-250-sq-ft-retail-shop-in-maheshwari-bhuwan/10275079,Borivali East,,,False
squareyards,Ghatkopar West,Mumbai,2,55000,per_month,,600,14,,semi-furnished,https://www.squareyards.com/rental-2-bhk-600-sq-ft-apartment-in-rockline-the-meridian-towers/10522273,Ghatkopar West,19.09653,72.914392,True
squareyards,Kandivali West,Mumbai,1,40000,per_month,,430,4,23,furnished,https://www.squareyards.com/rental-1-bhk-430-sq-ft-apartment-in-bhoomi-shivam/10548756,Kandivali West,19.21618,72.83369,True
squareyards,Santacruz East,Mumbai,5,50000,per_month,,704,3,,semi-furnished,https://www.squareyards.com/rental-1-5-bhk-store-room-704-sq-ft-apartment-in-suchita-chs/10539104,Santacruz East,19.07862,72.86566,True
squareyards,Chedda Nagar,Mumbai,2,65000,per_month,,1000,5,,semi-furnished,https://www.squareyards.com/rental-2-bhk-servant-room-extra-room-store-room-1000-sq-ft-apartment-in-kutchi-sarvodaya-nagar/10535155,Chedda Nagar,19.06171833,72.91061102,True
squareyards,Worli,Mumbai,5,135000,per_month,,1000,18,22,furnished,https://www.squareyards.com/rental-2-5-bhk-store-room-1000-sq-ft-apartment-in-amann-marina/10517234,Worli,19.01743,72.818638,True
squareyards,Andheri West,Mumbai,3,150000,per_month,,1500,,,furnished,https://www.squareyards.com/rental-3-bhk-prayer-room-servant-room-1500-sq-ft-apartment-in-andheri-chs/10538206,Andheri West,19.118765,72.841925,True
squareyards,Santacruz West,Mumbai,3,250000,per_month,,1100,5,8,semi-furnished,https://www.squareyards.com/rental-3-bhk-1100-sq-ft-apartment-in-santacruz-west/10541390,Santacruz West,19.082464,72.836957,True
squareyards,Kandivali West,Mumbai,,1210000,per_month,,6356,,,unfurnished,https://www.squareyards.com/rental-6356-sq-ft-office-space-in-anmol-priti/10478552,Kandivali West,,,False
squareyards,Andheri West,Mumbai,2,66000,per_month,,752,1,,unfurnished,https://www.squareyards.com/rental-2-bhk-752-sq-ft-apartment-in-andheri-west/10523860,Andheri West,19.0865579894721,72.8810664643325,True
squareyards,Andheri East,Mumbai,,400000,per_month,,2000,,,furnished,https://www.squareyards.com/rental-2000-sq-ft-office-space-in-akshay-chs-andheri-east/10422874,Andheri East,,,False
squareyards,Powai,Mumbai,,85000,per_month,,520,,,semi-furnished,https://www.squareyards.com/rental-520-sq-ft-office-space-in-gateway-plaza/10477407,Powai,,,False
