listing_id,locality,tier,bhk,area_sqft,furnishing,floor,metro_km,lat,lng,actual_rent,predicted_rent,error,pct_error,abs_pct_error,solo_locality,pricing_flag,median_rent,median_rent_per_sqft
619,Malad East,budget,2,680,semi-furnished,10.0,5.73,19.177501,72.876135,75000,60014,14986,20.0,20.0,0,Listed above model (check overpricing),65000.0,92.5
620,Powai,mid,1,300,semi-furnished,8.0,3.74,19.116994,72.913059,70000,32387,37613,53.7,53.7,0,Listed above model (check overpricing),85000.0,104.0
621,Oshiwara,mid,2,670,semi-furnished,1234.0,4.83,19.145734,72.832757,95000,88682,6318,6.7,6.7,0,In line with model,120000.0,141.8
622,Malad West,budget,3,1400,furnished,19.0,6.92,19.178885,72.833735,140000,136349,3651,2.6,2.6,0,In line with model,60000.0,94.1
623,Dalal Estate,mid,1,550,unfurnished,20.0,0.22,18.968433,72.819967,70000,54185,15815,22.6,22.6,1,Listed above model (check overpricing),70000.0,127.3
624,Bangur Nagar,budget,3,1050,semi-furnished,10.0,5.9,19.163807,72.834294,100000,95564,4436,4.4,4.4,0,In line with model,100000.0,94.6
625,Malad West,budget,1,432,unfurnished,8.0,5.85,19.201364,72.819948,35000,36921,-1921,-5.5,5.5,0,In line with model,60000.0,94.1
626,Wadala,mid,5,450,semi-furnished,6.0,2.83,19.014836,72.864527,42000,64506,-22506,-53.6,53.6,0,Listed below model (possible underpricing),160000.0,131.15
627,Malad East,budget,2,770,semi-furnished,4.0,5.55,19.175752,72.869888,75000,67425,7575,10.1,10.1,0,In line with model,65000.0,92.5
628,Malad East,budget,3,1700,furnished,9.0,5.82,19.182601,72.856843,90000,158525,-68525,-76.1,76.1,0,Listed below model (possible underpricing),65000.0,92.5
629,Malad West,budget,1,306,semi-furnished,18.0,6.06,19.1863,72.8365,26000,27217,-1217,-4.7,4.7,0,In line with model,60000.0,94.1
630,Malad East,budget,3,950,semi-furnished,6.0,5.01,19.1898455,72.857798,60000,86177,-26177,-43.6,43.6,0,Listed below model (possible underpricing),65000.0,92.5
631,Andheri West,mid,1,388,furnished,9.0,2.9,19.127991,72.839506,65000,56197,8803,13.5,13.5,0,In line with model,95000.0,116.75
632,Vikhroli West,budget,2,650,semi-furnished,9.0,5.14,19.116908,72.926683,61000,58166,2834,4.6,4.6,0,In line with model,65000.0,93.8
633,Malad East,budget,1,650,furnished,12.0,5.73,19.177501,72.876135,56000,58061,-2061,-3.7,3.7,0,In line with model,65000.0,92.5
634,Andheri West,mid,5,1200,furnished,22.0,4.2,19.1388851,72.83465369999999,250000,160531,89469,35.8,35.8,0,Listed above model (check overpricing),95000.0,116.75
635,Goregaon East,budget,2,981,furnished,11.0,3.31,19.1531958299402,72.8865832279232,45000,92507,-47507,-105.6,105.6,0,Listed below model (possible underpricing),75000.0,98.25
636,Powai,mid,3,1700,semi-furnished,20.0,4.42,19.121325,72.918361,240000,179596,60404,25.2,25.2,0,Listed above model (check overpricing),85000.0,104.0
637,Nepean Sea Road,premium,5,1300,unfurnished,5.0,2.63,18.9515058089075,72.7963064466596,280000,210901,69099,24.7,24.7,1,Listed above model (check overpricing),280000.0,215.4
638,Goregaon West,budget,3,1200,semi-furnished,15.0,5.86,19.172208,72.846954,90000,109334,-19334,-21.5,21.5,0,Listed below model (possible underpricing),76000.0,98.2
639,Andheri West,mid,3,1460,furnished,15.0,5.54,19.1350711,72.81132,230000,175336,54664,23.8,23.8,0,Listed above model (check overpricing),95000.0,116.75
640,Chembur,mid,3,1300,semi-furnished,5.0,0.55,19.058453,72.895371,130000,137001,-7001,-5.4,5.4,0,In line with model,85000.0,104.2
641,Goregaon West,budget,2,640,semi-furnished,701.0,5.89,19.170532703023,72.8433550394059,80000,59681,20319,25.4,25.4,0,Listed above model (check overpricing),76000.0,98.2
642,Bandra East,mid,3,1400,semi-furnished,12.0,0.79,19.056192,72.848892,275000,156632,118368,43.0,43.0,0,Listed above model (check overpricing),205000.0,136.0
643,Lower Parel,premium,3,1700,semi-furnished,2.0,1.0,18.995721,72.829392,250000,303580,-53580,-21.4,21.4,0,Listed below model (possible underpricing),280000.0,181.35
644,Goregaon West,budget,3,1200,semi-furnished,701.0,4.55,19.154588,72.842697,100000,114651,-14651,-14.7,14.7,0,In line with model,76000.0,98.2
645,Chembur,mid,3,1400,semi-furnished,10.0,0.32,19.0519159,72.8908059,140000,146508,-6508,-4.6,4.6,0,In line with model,85000.0,104.2
646,Jogeshwari West,budget,1,450,unfurnished,9.0,2.83,,,80000,51317,28683,35.9,35.9,0,Listed above model (check overpricing),85000.0,100.0
647,Wadala,mid,2,700,semi-furnished,7.0,2.66,19.020587,72.864366,62000,83662,-21662,-34.9,34.9,0,Listed below model (possible underpricing),160000.0,131.15
648,Chembur,mid,2,720,semi-furnished,7.0,0.49,19.044243,72.904472,75000,77286,-2286,-3.0,3.0,0,In line with model,85000.0,104.2
649,Mahalaxmi,premium,4,1850,unfurnished,45.0,0.43,18.983085,72.826831,360000,370519,-10519,-2.9,2.9,0,In line with model,350000.0,226.3
650,Goregaon West,budget,1,440,unfurnished,701.0,5.7,19.167242,72.841577,45000,41996,3004,6.7,6.7,0,In line with model,76000.0,98.2
651,Goregaon East,budget,2,1050,furnished,14.0,5.17,19.16818,72.853134,78000,99689,-21689,-27.8,27.8,0,Listed below model (possible underpricing),75000.0,98.25
652,Worli,premium,1,601,unfurnished,9.0,2.83,,,300500,156992,143508,47.8,47.8,0,Listed above model (check overpricing),290250.0,251.8
653,Malad West,budget,1,450,furnished,22.0,6.18,19.202248,72.815244,46000,42485,3515,7.6,7.6,0,In line with model,60000.0,94.1
654,Goregaon East,budget,3,1375,furnished,2.0,5.17,19.171529,72.863911,235000,131077,103923,44.2,44.2,0,Listed above model (check overpricing),75000.0,98.25
655,Andheri East,budget,1,550,semi-furnished,6.0,1.21,19.1194203849942,72.8848945384194,50000,46642,3358,6.7,6.7,0,In line with model,75000.0,100.0
656,Colaba,premium,1,360,furnished,5.0,0.76,18.918368,72.827984,60000,68315,-8315,-13.9,13.9,0,In line with model,82500.0,174.25
657,Chembur,mid,3,1300,furnished,7.0,0.99,19.060577,72.902806,135000,152112,-17112,-12.7,12.7,0,In line with model,85000.0,104.2
658,Goregaon West,budget,5,1000,unfurnished,25.0,4.55,19.154588,72.842697,90000,101707,-11707,-13.0,13.0,0,In line with model,76000.0,98.2
659,Powai,mid,4,3200,furnished,12.0,2.2,19.123388,72.894532,300000,361737,-61737,-20.6,20.6,0,Listed below model (possible underpricing),85000.0,104.0
660,Andheri West,mid,4,3050,furnished,11.0,5.11,19.151569,72.833298,400000,365313,34687,8.7,8.7,0,In line with model,95000.0,116.75
661,Goregaon West,budget,3,1450,furnished,18.0,4.58,19.152858,72.840617,150000,137311,12689,8.5,8.5,0,In line with model,76000.0,98.2
662,Andheri West,mid,3,1500,furnished,9.0,2.83,,,175000,236131,-61131,-34.9,34.9,0,Listed below model (possible underpricing),95000.0,116.75
663,Malad West,budget,5,943,semi-furnished,16.0,4.86,19.198237,72.837412,70000,91822,-21822,-31.2,31.2,0,Listed below model (possible underpricing),60000.0,94.1
664,Chembur,mid,2,750,furnished,3.0,0.46,19.0512589,72.88964659999999,85000,83507,1493,1.8,1.8,0,In line with model,85000.0,104.2
665,Chembur,mid,2,750,furnished,5.0,0.96,19.062717,72.892611,75000,87203,-12203,-16.3,16.3,0,Listed below model (possible underpricing),85000.0,104.2
666,Goregaon East,budget,3,1100,furnished,4.0,5.17,19.171529,72.863911,240000,106734,133266,55.5,55.5,0,Listed above model (check overpricing),75000.0,98.25
667,Mahalaxmi,premium,3,2100,unfurnished,47.0,0.79,18.986985,72.827622,350000,415825,-65825,-18.8,18.8,0,Listed below model (possible underpricing),350000.0,226.3
668,Chembur,mid,3,1400,furnished,7.0,0.27,19.054141,72.901802,120000,160827,-40827,-34.0,34.0,0,Listed below model (possible underpricing),85000.0,104.2
669,Chembur,mid,2,700,semi-furnished,6.0,0.81,19.048269,72.88831,72000,73176,-1176,-1.6,1.6,0,In line with model,85000.0,104.2
670,Oshiwara,mid,2,670,furnished,29.0,4.83,19.145734,72.832757,125000,86018,38982,31.2,31.2,0,Listed above model (check overpricing),120000.0,141.8
671,Goregaon West,budget,2,640,semi-furnished,701.0,5.86,19.172208,72.846954,70000,61535,8465,12.1,12.1,0,In line with model,76000.0,98.2
672,Andheri East,budget,2,700,semi-furnished,9.0,0.78,19.12186,72.86768,75000,60212,14788,19.7,19.7,0,Listed above model (check overpricing),75000.0,100.0
673,Nagesh Patilwadi,budget,3,1200,furnished,10.0,0.58,19.0524002,72.9099234,115000,112893,2107,1.8,1.8,1,In line with model,115000.0,95.8
674,Juhu,premium,4,1550,semi-furnished,8.0,2.46,19.113507,72.832023,300000,294524,5476,1.8,1.8,0,In line with model,212500.0,190.5
675,Chembur,mid,3,1500,furnished,8.0,0.81,19.058636,72.904206,140000,165977,-25977,-18.6,18.6,0,Listed below model (possible underpricing),85000.0,104.2
676,Andheri West,mid,3,1150,semi-furnished,9.0,5.4,19.151867,72.830203,200000,130025,69975,35.0,35.0,0,Listed above model (check overpricing),95000.0,116.75
677,Borivali West,budget,2,721,semi-furnished,17.0,1.77,19.230725,72.846817,61000,60833,167,0.3,0.3,0,In line with model,40000.0,88.9
678,Powai,mid,3,1750,furnished,11.0,2.71,19.115126,72.903392,110000,199372,-89372,-81.2,81.2,0,Listed below model (possible underpricing),85000.0,104.0
679,Andheri West,mid,3,1350,semi-furnished,12.0,1.92,19.118765,72.841925,135000,150858,-15858,-11.7,11.7,0,In line with model,95000.0,116.75
680,Malad West,budget,3,1000,unfurnished,7.0,5.85,19.201364,72.819948,68000,91634,-23634,-34.8,34.8,0,Listed below model (possible underpricing),60000.0,94.1
681,Andheri West,mid,2,800,furnished,9.0,2.83,,,155000,113572,41428,26.7,26.7,0,Listed above model (check overpricing),95000.0,116.75
682,Andheri West,mid,3,950,semi-furnished,1234.0,4.0,19.1379896,72.8369791,95000,126369,-31369,-33.0,33.0,0,Listed below model (possible underpricing),95000.0,116.75
683,Goregaon East,budget,2,1050,furnished,12.0,5.91,19.179149,72.872283,70000,100154,-30154,-43.1,43.1,0,Listed below model (possible underpricing),75000.0,98.25
684,Malad East,budget,1,600,unfurnished,7.0,6.08,19.180089,72.859428,40000,51052,-11052,-27.6,27.6,0,Listed below model (possible underpricing),65000.0,92.5
685,Vikhroli East,premium,2,780,semi-furnished,1.0,4.93,19.092531,72.922302,130000,131617,-1617,-1.2,1.2,0,In line with model,180000.0,166.7
686,Andheri West,mid,2,550,unfurnished,2.0,4.52,19.146006,72.836274,65000,66091,-1091,-1.7,1.7,0,In line with model,95000.0,116.75
687,Andheri East,budget,1,550,furnished,21.0,0.9,19.114715,72.884097,75000,48546,26454,35.3,35.3,0,Listed above model (check overpricing),75000.0,100.0
688,Worli,premium,4,2267,unfurnished,54.0,1.02,19.00224,72.826286,570000,495853,74147,13.0,13.0,0,In line with model,290250.0,251.8
689,Malad West,budget,2,897,furnished,9.0,6.21,19.184965,72.83616,90000,83208,6792,7.5,7.5,0,In line with model,60000.0,94.1
690,Malad West,budget,2,700,furnished,6.0,5.74,19.1907596,72.8343081,60000,66421,-6421,-10.7,10.7,0,In line with model,60000.0,94.1
691,Malad East,budget,2,788,semi-furnished,9.0,5.79,19.178041,72.871778,78000,92646,-14646,-18.8,18.8,0,Listed below model (possible underpricing),65000.0,92.5
692,Chembur,mid,3,1100,semi-furnished,4.0,0.62,19.05718,72.90281,115000,117503,-2503,-2.2,2.2,0,In line with model,85000.0,104.2
693,Mulund West,budget,3,1260,semi-furnished,15.0,1.45,19.181284,72.94923782,75000,102361,-27361,-36.5,36.5,0,Listed below model (possible underpricing),62500.0,65.9
694,Chembur,mid,2,975,semi-furnished,6.0,0.29,19.055011,72.890199,75000,98863,-23863,-31.8,31.8,0,Listed below model (possible underpricing),85000.0,104.2
